start_meas,end_meas,chord
0.833,1,G:maj
1,1.33,E:min
1.33,1.5,D:maj/3
1.5,1.833,G:maj
1.833,2,G:maj/3
2,2.33,D:maj
2.33,2.5,E:min
2.5,2.833,D:maj
2.833,3,G:maj
3,3.33,D:maj/3
3.33,3.5,G:maj
3.5,3.833,D:sus4
3.833,4,D:maj
4,4.67,G:maj(*5)
4.833,5,G:maj
5,5.33,E:min
5.33,5.5,D:maj/3
5.5,5.833,G:maj
5.833,6,G:maj/3
6,6.33,D:maj
6.33,6.5,E:min
6.5,6.833,D:maj
6.833,7,G:maj
7,7.33,D:maj/3
7.33,7.5,G:maj
7.5,7.833,D:sus4
7.833,8,D:maj
8,8.67,G:maj(*5)
8.833,9,G:maj
9,9.33,E:min
9.33,9.5,D:maj/3
9.5,10,G:maj
10,10.67,D:maj
10.833,11,E:min
11,11.33,B:min/3
11.33,11.5,A:min/3
11.5,11.66,B:min
11.66,11.833,G:maj/3
11.833,12,D:maj/3
12,12.833,G:maj
12.833,13,G:maj
13,13.33,D:maj/3
13.33,13.4167,A:min
13.4167,13.5,"D:(*1,3,5,b7)/5"
13.5,13.75,G:maj
13.75,13.833,D:maj
13.833,14,E:min
14,14.33,B:maj
14.33,14.5,E:min
14.5,14.833,D:maj
14.833,15,G:maj
15,15.33,B:min
15.33,15.5,G:maj
15.5,15.833,D:sus4
15.833,16,D:maj
16,16.833,G:maj
