start_meas,end_meas,chord
0.75,1,B:min
1,1.25,B:min/3
1.25,1.5,F#:maj
1.5,1.75,B:min
1.75,2,G:maj
2,2.375,A:maj
2.375,2.5,"A:maj(*5,b7)"
2.5,2.75,D:maj
2.75,3,F#:min
3,3.375,G:maj
3.375,3.5,A:maj
3.5,3.75,D:maj
3.75,4,E:min/3
4,4.5,F#:sus4
4.5,4.75,F#:maj
4.75,5,B:min
5,5.25,B:min/3
5.25,5.5,F#:maj
5.5,5.75,B:min
5.75,6,G:maj
6,6.375,A:maj
6.375,6.5,"A:maj(*5,b7)"
6.5,6.75,D:maj
6.75,7,F#:min
7,7.375,G:maj
7.375,7.5,A:maj
7.5,7.75,D:maj
7.75,8,E:min/3
8,8.5,F#:sus4
8.5,8.75,F#:maj
8.75,9,F#:min
9,9.5,D:maj
9.5,9.75,G:maj
9.75,10,D:maj/3
10,10.375,G:maj/3
10.375,10.5,A:maj/3
10.5,10.75,D:maj
10.75,11,A:maj/3
11,11.25,B:min
11.25,11.5,D:maj/3
11.5,11.75,G:maj
11.75,12,A:maj
12,12.375,E:min
12.375,12.5,A:maj/3
12.5,12.75,D:maj
12.75,13,F#:min
13,13.25,E:maj
13.25,13.5,"F#:(*1,3,5,b7)/5"
13.5,13.75,B:min/3
13.75,14,E:min
14,14.5,F#:maj
14.5,14.75,B:maj
