start_meas,end_meas,chord
1,1.33,C:maj
1.33,1.5,C:maj/3
1.5,1.833,F:maj
1.833,2,C:maj
2,2.166,G:sus4
2.166,2.5,G:maj
2.5,2.833,C:maj(*5)
2.833,3,G:maj/3
3,3.5,A:min
3.5,4,E:maj
4,4.67,A:min
5,5.33,C:maj
5.33,5.5,C:maj/3
5.5,5.833,F:maj
5.833,6,C:maj
6,6.166,G:sus4
6.166,6.5,G:maj
6.5,6.833,C:maj(*5)
6.833,7,G:maj/3
7,7.5,A:min
7.5,8,E:maj
8,8.67,A:min
9,9.167,A:min
9.167,9.33,E:min
9.33,9.5,F:maj
9.5,10,G:maj
10,10.22,C:maj
10.33,10.44,D:min
10.44,10.56,D:min/3
10.56,10.67,G:min
10.67,11,A:maj
11,11.22,D:min
11.22,11.33,G:maj
11.33,11.5,C:maj
11.5,11.56,C:sus4
11.56,11.67,G:maj/3
11.67,12,D:maj
12,12.22,G:maj
12.22,12.33,C:maj
12.33,12.5,F:maj
12.5,12.56,G:7
12.56,12.67,C:maj
12.67,13,G:maj
13,14,C:maj
