start_meas,end_meas,chord
0.75,1.25,D:min
1.25,1.5,A:maj
1.5,1.75,D:min
1.75,2,G:maj/3
2,2.25,A:sus4
2.25,2.5,A:maj
2.5,2.75,D:min
2.75,3,C:maj
3,3.25,G:maj
3.25,3.5,A:min
3.5,3.75,D:min
3.75,4,E:maj
4,4.5,A:min
4.75,5.25,D:min
5.25,5.5,A:maj
5.5,5.75,D:min
5.75,6,G:maj/3
6,6.25,A:sus4
6.25,6.5,A:maj
6.5,6.75,D:min
6.75,7,C:maj
7,7.25,G:maj
7.25,7.5,A:min
7.5,7.75,D:min
7.75,8,E:maj
8,8.5,A:min
8.75,9,A:min
9,9.25,G:maj
9.25,9.5,C:maj/3
9.5,9.75,D:min
9.75,10,G:maj
10,10.5,C:maj
10.5,10.75,F:maj
10.75,11,F:maj/3
11,11.25,C:maj
11.25,11.5,D:min
11.5,11.75,F:maj/3
11.75,12,C:maj
12,12.5,F:maj
12.75,13,F:maj
13,13.25,D:min
13.25,13.5,C:maj/3
13.5,13.75,F:maj
13.75,14,C:maj
14,14.25,D:min(9)
14.25,14.5,D:min
14.5,14.75,A:maj
14.75,15,D:min
15,15.25,G:maj/3
15.25,15.5,A:maj/3
15.5,15.75,D:min
15.75,16,A:maj
16,16.75,D:min(*5)
