start_meas,end_meas,chord
0.5,1,F:maj
1,1.25,D:min
1.25,1.5,G:min
1.5,1.75,F:maj
1.75,2,A:min
2,2.167,Bb:maj/3
2.167,2.33,"C:(*1,3,5,b7)/5"
2.33,2.67,F:maj
2.833,3,F:maj
3,3.25,Bb:maj
3.25,3.5,D:min
3.5,3.75,G:min
3.75,4,C:maj
4,4.5,F:maj
4.5,5,F:maj
5,5.25,D:min
5.25,5.5,G:min
5.5,5.75,F:maj
5.75,6,A:min
6,6.167,Bb:maj/3
6.167,6.33,"C:(*1,3,5,b7)/5"
6.33,6.67,F:maj
6.833,7,F:maj
7,7.25,Bb:maj
7.25,7.5,D:min
7.5,7.75,G:min
7.75,8,C:maj
8,8.5,F:maj
8.75,9,C:maj
9,9.167,G:maj
9.167,9.33,C:maj/3
9.33,9.833,F:maj
9.833,10,C:maj
10,10.167,D:min
10.167,10.33,"G:(*1,3,5,b7)/5"
10.33,10.67,C:maj
10.833,11,D:min
11,11.25,C:maj
11.25,11.5,F:maj
11.5,11.75,Bb:maj
11.75,12,F:maj
12,12.25,C:sus4
12.25,12.5,C:maj
12.5,13,F:maj
