start_meas,end_meas,chord
0.67,0.78,E:min
0.78,0.89,C:maj
0.89,1,G:maj/3
1,1.22,C:maj
1.22,1.33,A:min
1.33,1.56,G:maj
1.67,1.78,G:maj
1.78,1.89,E:min
1.89,2,G:maj/3
2,2.33,C:maj
2.33,2.5,G:maj/3
2.5,2.67,C:maj6
2.67,3,D:maj
3,3.33,G:maj
3.5,3.67,G:maj
3.67,3.833,D:maj
3.833,4,B:min
4,4.22,C:maj
4.22,4.33,A:min
4.33,4.56,B:maj
4.67,4.89,E:min
4.89,5,C:maj
5,5.5,A:min
5.5,5.67,E:min
5.67,5.833,B:sus4
5.833,6,B:maj
6,6.33,E:min
6.5,6.833,D:maj
6.833,7,F#:min
7,7.22,B:min
7.22,7.33,E:min
7.33,7.56,A:maj
7.67,7.78,A:maj/3
7.78,7.89,D:maj
7.89,8,G:maj
8,8.22,C:maj
8.22,8.33,A:min
8.33,8.56,E:min
8.67,6.78,E:min
6.78,6.89,G:maj
6.89,9,D:maj/3
9,9.11,C:maj/3
9.11,9.22,"D:(*1,3,5,b7)/5"
9.22,9.33,G:maj
9.33,9.56,D:maj
9.67,9.78,D:maj
9.78,9.89,G:maj
9.89,10,A:min
10,10.11,E:min
10.11,10.22,E:min/3
10.22,10.33,B:maj
10.33,10.67,E:min(*5)
