start_meas,end_meas,chord
0.75,1,G:maj
1,1.25,D:maj/3
1.25,1.5,E:min
1.5,1.75,B:maj
1.75,2,E:min
2,2.25,A:min
2.25,2.5,G:maj
2.5,2.75,D:maj
2.75,3,D:maj/3
3,3.25,G:maj
3.25,3.5,D:maj
3.5,3.75,E:min
3.75,4,B:min
4,4.25,G:maj6
4.25,4.5,A:maj
4.5,4.75,D:maj(*5)
4.75,5,G:maj
5,5.25,D:maj/3
5.25,5.5,E:min
5.5,5.75,B:maj
5.75,6,E:min
6,6.25,A:min
6.25,6.5,G:maj
6.5,6.75,D:maj
6.75,7,D:maj/3
7,7.25,G:maj
7.25,7.5,D:maj
7.5,7.75,E:min
7.75,8,B:min
8,8.25,G:maj6
8.25,8.5,A:maj
8.5,8.75,D:maj(*5)
8.75,9,D:maj
9,9.25,G:maj/3
9.25,9.5,C:maj
9.5,9.75,B:min/3
9.75,10,E:min
10,10.5,C:maj
10.75,11,G:maj
11,11.25,A:min
11.25,11.5,E:min
11.5,11.75,C:maj
11.75,12,G:maj
12,12.5,D:maj
12.75,13,D:maj
13,13.25,G:maj
13.25,13.5,C:maj
13.5,13.75,"D:(*1,3,5,b7)/5"
13.75,14,G:maj
14,14.25,A:min/3
14.25,14.5,E:min
14.5,14.75,B:maj
14.75,15,B:min
15,15.125,A:min
15.125,15.25,"D:(*1,3,5,b7)/5"
15.25,15.5,G:maj(*5)
15.5,15.75,C:maj
15.75,15.875,A:min
15.875,16,"D:(*1,3,5,b7)/5"
16,16.125,G:maj/3
16.125,16.25,G:maj/4
16.25,16.375,D:sus4
16.375,16.5,D:maj
16.5,16.75,G:maj
