start_meas,end_meas,chord
0.33,0.67,D:maj(*5)
0.67,0.833,D:maj
0.833,1,G:maj/3
1,1.5,A:maj
1.5,1.67,G:maj
1.67,1.833,A:maj
1.833,2,B:min
2,2.33,F#:min
2.5,2.67,D:maj
2.67,2.833,A:maj/3
2.833,3,E:maj
3,3.33,A:maj
3.33,3.5,G:maj
3.5,3.833,B:min
3.833,4,A:maj
4,4.33,D:maj
4.5,4.833,B:min
4.833,5,F#:min
5,5.33,G:maj
5.33,5.5,B:min
5.5,5.833,A:maj
5.833,6,E:min
6,6.33,F#:maj
6.5,6.67,D:maj/3
6.67,6.833,D:maj
6.833,7,E:min
7,7.33,B:min
7.33,7.5,E:min
7.5,7.67,B:min
7.67,7.833,G:maj(*3)
7.833,8,A:maj
8,8.33,D:maj
